sentence id	text	sentiment	topic
0	Attending that sports event was exhilarating, the atmosphere was electric!	positive	sports
1	I'm thrilled about the upcoming sports championship, it's going to be epic.	positive	sports
2	The sports documentary I watched was eye-opening, it gave me a new perspective.	positive	sports
3	I'm excited to watch my favorite team play in the playoffs, they're on fire!	positive	sports
4	That sports biography I read was inspiring, it motivated me to push my limits.	positive	sports
5	The latest movie I watched was phenomenal, I was hooked from beginning to end.	positive	movie
6	I'm looking forward to the next movie night, it's always a blast with friends.	positive	movie
7	The movie I saw last weekend was fantastic, it left me feeling uplifted and inspired.	positive	movie
8	I thoroughly enjoyed reading that book, it was a captivating story from start to finish.	positive	book
9	Attending the book signing event was a dream come true, meeting the author was incredible.	positive	book
10	Watching my team lose in the playoffs was devastating, it ruined my day.	negative	sports
11	The latest sports documentary failed to capture my interest, it felt too repetitive.	negative	sports
12	I couldn't care less about the outcome of that sports game, it's just not my thing.	negative	sports
13	The sports biography I read was so dull, I struggled to finish it.	negative	sports
14	Attending that sports event was a waste of time, the atmosphere was lackluster.	negative	sports
15	The latest sports news left me indifferent, it didn't affect me either way.	neutral	sports
16	I have no strong feelings about that sports match, it was just okay.	neutral	sports
17	The sports interview I watched was neither good nor bad, it was just average.	neutral	sports
18	That sports documentary presented both sides of the argument fairly, it was unbiased.	neutral	sports
19	The sports analysis I read didn't sway my opinion one way or the other.	neutral	sports
20	The sports game I watched was forgettable, it didn't leave a lasting impression.	neutral	sports
21	I'm neither excited nor disappointed about the upcoming sports event.	neutral	sports
22	The sports commentary was so-so, it didn't add much to my understanding.	neutral	sports
23	The sports talk show I listened to was mediocre, it didn't offer any new insights.	neutral	sports
24	I'm feeling positive about the upcoming sports tournament, it promises to be exciting.	positive	sports
25	That sports training session was invigorating, it boosted my confidence.	positive	sports
26	I'm looking forward to the sports championship next week, it should be thrilling.	positive	sports
27	The sports workshop I attended was enlightening, it gave me new skills.	positive	sports
28	I'm optimistic about my favorite team's chances in the upcoming sports match.	positive	sports
29	The latest movie I watched was a complete disaster, I regret wasting my time on it.	negative	movie
30	That movie sequel was a letdown, it didn't live up to the original.	negative	movie
31	I found that movie to be utterly boring, it failed to engage me in any way.	negative	movie
32	The movie adaptation of my favorite book was a disappointment, it missed the mark.	negative	movie
33	Watching that movie was a waste of money, I wish I had chosen something else.	negative	movie
34	The movie I saw last night was forgettable, I can barely remember anything about it.	negative	movie
35	I feel indifferent about that movie, it didn't leave much of an impression on me.	neutral	movie
36	The movie I watched last weekend was neither good nor bad, it was just okay.	neutral	movie
37	That movie had mixed reviews, I'm not sure if I want to see it.	neutral	movie
38	The movie trailer didn't grab my attention, I'm not sure if I'll watch it.	neutral	movie
39	I have no strong feelings about that movie, it was neither impressive nor disappointing.	neutral	movie
40	The movie screening I attended was average, it didn't exceed my expectations.	neutral	movie
41	I'm feeling positive about the movie premiere next month, it looks promising.	positive	movie
42	That movie had me on the edge of my seat, it was thrilling from start to finish.	positive	movie
43	I'm excited about the upcoming movie release, the trailer looks amazing.	positive	movie
44	The movie I watched last night was fantastic, it exceeded all my expectations.	positive	movie
45	Watching that movie was a delight, it was the highlight of my week.	positive	movie
46	The latest book I read was a disappointment, it didn't live up to the hype.	negative	book
